"funnel_name","step_number","step_name","version","placement","script_name","script_kind","source_or_signal","file_path","notes","status"
"5-Day Keyboard Rich Challenge","1","Challenge Registration - Bill","A","header","Everflow SDK","external_js","https://www.undjsk912is.com/scripts/sdk/everflow.js","funnels/5-day-keyboard-rich-challenge/01-challenge-registration-bill/version-a/header.html","Loads Everflow SDK.","identified"
"5-Day Keyboard Rich Challenge","1","Challenge Registration - Bill","A","header","Everflow click tracking init","inline_js","EF.click with URL parameters","funnels/5-day-keyboard-rich-challenge/01-challenge-registration-bill/version-a/header.html","Tracks click attribution from oid, affid, sub values, uid, source_id, and transaction_id.","identified"
"5-Day Keyboard Rich Challenge","1","Challenge Registration - Bill","A","header","Phone validation stylesheet","stylesheet","intl-tel-input 17.0.8 CSS","funnels/5-day-keyboard-rich-challenge/01-challenge-registration-bill/version-a/header.html","Phone validation dependency.","identified"
"5-Day Keyboard Rich Challenge","1","Challenge Registration - Bill","A","header","Phone validation library","external_js","intl-tel-input 17.0.8 JS","funnels/5-day-keyboard-rich-challenge/01-challenge-registration-bill/version-a/header.html","Phone validation dependency.","identified"
"5-Day Keyboard Rich Challenge","1","Challenge Registration - Bill","A","header","Trustpilot TrustBox widget","external_js","//widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js","funnels/5-day-keyboard-rich-challenge/01-challenge-registration-bill/version-a/header.html","Trustpilot widget bootstrap.","identified"
"5-Day Keyboard Rich Challenge","1","Challenge Registration - Bill","A","body","ActiveCampaign site tracking","inline_js","diffuser-cdn.app-us1.com / account 252390389","funnels/5-day-keyboard-rich-challenge/01-challenge-registration-bill/version-a/body.html","Initializes vgo visitor tracking.","identified"
"5-Day Keyboard Rich Challenge","1","Challenge Registration - Bill","A","body","FAQ accordion behavior","inline_js","jQuery faq-accord-question / faq-accord-answer","funnels/5-day-keyboard-rich-challenge/01-challenge-registration-bill/version-a/body.html","Adds plus/minus accordion behavior.","identified"
"5-Day Keyboard Rich Challenge","1","Challenge Registration - Bill","A","body","Phone validation custom logic","inline_js","intlTelInput + IPinfo token f6106ad2dcab3d","funnels/5-day-keyboard-rich-challenge/01-challenge-registration-bill/version-a/body.html","Validates phone fields and writes intl-phone hidden field.","identified"
"5-Day Keyboard Rich Challenge","1","Challenge Registration - Bill","B","header","Everflow SDK","external_js","https://www.undjsk912is.com/scripts/sdk/everflow.js","funnels/5-day-keyboard-rich-challenge/01-challenge-registration-bill/version-b/header.html","Same migrated scripts as version A.","identified"
"5-Day Keyboard Rich Challenge","1","Challenge Registration - Bill","B","header","Everflow click tracking init","inline_js","EF.click with URL parameters","funnels/5-day-keyboard-rich-challenge/01-challenge-registration-bill/version-b/header.html","Same migrated scripts as version A.","identified"
