funnel_name,funnel_id,step_number,step_name,step_slug,page_version,clickfunnels_funnel_id,clickfunnels_step_id,step_folder,header_file,body_file,script_name,status,gtm_container,gtm_tag_name,gtm_trigger_name,validated_at,notes
5-Day Keyboard Rich Challenge,krc,1,Challenge Registration - Bill,challenge_registration_bill,version-a,13147816,89283381,funnels/5-day-keyboard-rich-challenge/01-challenge-registration-bill/version-a,funnels/5-day-keyboard-rich-challenge/01-challenge-registration-bill/version-a/header.html,funnels/5-day-keyboard-rich-challenge/01-challenge-registration-bill/version-a/body.html,,datalayer_file_created,,,,,
5-Day Keyboard Rich Challenge,krc,1,Challenge Registration - Bill,challenge_registration_bill,version-b,13147816,89283381,funnels/5-day-keyboard-rich-challenge/01-challenge-registration-bill/version-b,funnels/5-day-keyboard-rich-challenge/01-challenge-registration-bill/version-b/header.html,funnels/5-day-keyboard-rich-challenge/01-challenge-registration-bill/version-b/body.html,,datalayer_file_created,,,,,
5-Day Keyboard Rich Challenge,krc,2,VIP (Free Challenge),vip_free_challenge,version-a,13147816,95311007,funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-a,funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-a/header.html,funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-a/body.html,,datalayer_file_created,,,,,
5-Day Keyboard Rich Challenge,krc,2,VIP (Free Challenge),vip_free_challenge,version-b,13147816,95311007,funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-b,funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-b/header.html,funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-b/body.html,,datalayer_file_created,,,,,
5-Day Keyboard Rich Challenge,krc,3,VIP Thank You,vip_thank_you,version-a,13147816,91989299,funnels/5-day-keyboard-rich-challenge/03-vip-thank-you/version-a,funnels/5-day-keyboard-rich-challenge/03-vip-thank-you/version-a/header.html,funnels/5-day-keyboard-rich-challenge/03-vip-thank-you/version-a/body.html,,datalayer_file_created,,,,,
5-Day Keyboard Rich Challenge,krc,3,VIP Thank You,vip_thank_you,version-b,13147816,91989299,funnels/5-day-keyboard-rich-challenge/03-vip-thank-you/version-b,funnels/5-day-keyboard-rich-challenge/03-vip-thank-you/version-b/header.html,funnels/5-day-keyboard-rich-challenge/03-vip-thank-you/version-b/body.html,,datalayer_file_created,,,,,
5-Day Keyboard Rich Challenge,krc,4,Regular Thank You (Free Challenge),regular_thank_you,version-a,13147816,95311500,funnels/5-day-keyboard-rich-challenge/04-regular-thank-you-free-challenge/version-a,funnels/5-day-keyboard-rich-challenge/04-regular-thank-you-free-challenge/version-a/header.html,funnels/5-day-keyboard-rich-challenge/04-regular-thank-you-free-challenge/version-a/body.html,,datalayer_file_created,,,,,Uses the original MD funnel_step value.
5-Day Keyboard Rich Challenge,krc,4,Regular Thank You (Free Challenge),regular_thank_you,version-b,13147816,95311500,funnels/5-day-keyboard-rich-challenge/04-regular-thank-you-free-challenge/version-b,funnels/5-day-keyboard-rich-challenge/04-regular-thank-you-free-challenge/version-b/header.html,funnels/5-day-keyboard-rich-challenge/04-regular-thank-you-free-challenge/version-b/body.html,,datalayer_file_created,,,,,Uses the original MD funnel_step value.
5-Day Keyboard Rich Challenge,krc,5,VIP Upgrade,vip_upgrade,version-a,13147816,89283382,funnels/5-day-keyboard-rich-challenge/05-vip-upgrade/version-a,funnels/5-day-keyboard-rich-challenge/05-vip-upgrade/version-a/header.html,funnels/5-day-keyboard-rich-challenge/05-vip-upgrade/version-a/body.html,,datalayer_file_created,,,,,
5-Day Keyboard Rich Challenge,krc,5,VIP Upgrade,vip_upgrade,version-b,13147816,89283382,funnels/5-day-keyboard-rich-challenge/05-vip-upgrade/version-b,funnels/5-day-keyboard-rich-challenge/05-vip-upgrade/version-b/header.html,funnels/5-day-keyboard-rich-challenge/05-vip-upgrade/version-b/body.html,,datalayer_file_created,,,,,
5-Day Keyboard Rich Challenge,krc,6,VIP Upgrade A,vip_upgrade_a,version-a,13147816,92696433,funnels/5-day-keyboard-rich-challenge/06-vip-upgrade-a/version-a,funnels/5-day-keyboard-rich-challenge/06-vip-upgrade-a/version-a/header.html,funnels/5-day-keyboard-rich-challenge/06-vip-upgrade-a/version-a/body.html,,datalayer_file_created,,,,,
